City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Talara,PE,-4.5772,-81.2719,29.42,48,0,7.2,clear sky
308,Lebyazhye,RU,55.2689,66.4947,3.71,66,77,2.75,broken clouds
309,Sandakan,MY,5.8402,118.1179,25.82,94,20,1.03,few clouds
310,Bam,IR,29.106,58.357,22.32,33,20,3.75,few clouds
311,Norman Wells,CA,65.282,-126.8329,-9.98,44,20,2.57,few clouds
312,Avera,US,33.194,-82.5271,26.97,47,100,1.4,overcast clouds
313,Gondanglegi,ID,-7.7479,112.0132,24.17,95,98,0.64,overcast clouds
314,Wang Saphung,TH,17.301,101.7685,24.85,83,7,0.29,clear sky
315,Las Vegas,US,36.175,-115.1372,28.47,18,0,3.09,clear sky
316,Rincon,US,32.296,-81.2354,30.98,35,75,2.57,broken clouds
317,Pyapon,MM,16.2833,95.6833,26.86,77,28,2.68,scattered clouds
318,Najran,SA,17.4924,44.1277,28.36,28,99,1.94,overcast clouds
319,Saint Anthony,US,45.0205,-93.218,7.91,43,100,6.17,overcast clouds
320,Padang,ID,-0.9492,100.3543,25.76,90,71,1.7,heavy intensity rain
321,Ukiah,US,39.1502,-123.2078,19.69,52,0,0.89,clear sky
322,Grindavik,IS,63.8424,-22.4338,6.97,70,75,5.14,broken clouds
323,Seoul,KR,37.5683,126.9778,10.76,66,75,2.57,broken clouds
324,Peace River,CA,56.2501,-117.286,1.17,74,100,5.14,light shower snow
325,Airai,TL,-8.9266,125.4092,15.58,88,100,0.73,overcast clouds
326,Aasiaat,GL,68.7098,-52.8699,-9.82,85,90,2.34,overcast clouds
327,Santa Cruz,BO,-17.8,-63.1667,27.03,39,75,6.17,broken clouds
328,Russell,US,32.3502,-85.1999,20.6,88,40,2.06,heavy intensity rain
329,Mandapeta,IN,16.8667,81.9333,25.38,62,66,2.56,broken clouds
330,Aguas Formosas,BR,-17.0822,-40.9358,20.8,91,100,1.48,overcast clouds
331,Praia Da Vitoria,PT,38.7333,-27.0667,18.14,72,20,6.0,few clouds
332,Buraydah,SA,26.326,43.975,26.25,15,0,4.94,clear sky
333,Half Moon Bay,US,37.4636,-122.4286,20.08,63,0,6.17,clear sky
334,Heyang,CN,26.1011,107.473,8.02,97,100,1.46,overcast clouds
335,Nome,US,64.5011,-165.4064,-1.61,93,100,8.75,mist
336,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,28.89,30,0,1.21,clear sky
337,Sibolga,ID,1.7427,98.7792,25.31,89,96,1.55,moderate rain
338,Durban,ZA,-29.8579,31.0292,18.29,94,98,1.34,light rain
339,Zharkent,KZ,44.1628,80.0,17.58,19,17,2.2,few clouds
340,Northam,GB,51.0333,-4.2167,11.81,90,21,4.97,few clouds
341,Astaneh-Ye Ashrafiyeh,IR,37.2596,49.9444,9.96,70,1,0.76,clear sky
342,Bereda,ES,43.2686,-7.5406,11.9,94,1,1.88,clear sky
343,Fort Wellington,GY,6.4,-57.6,27.37,70,97,4.23,overcast clouds
344,Saint George,US,37.1041,-113.5841,27.57,16,0,1.54,clear sky
